ID KODE NAMA JENIS_PETAK WARNA
1 GO Petak_Mulai SPESIAL DEFAULT
3 DNU Dana_Umum KARTU DEFAULT
5 PPH Pajak_Penghasilan PAJAK DEFAULT
7 KSP Kesempatan KARTU DEFAULT
9 FES Festival FESTIVAL DEFAULT
11 DNU Dana_Umum KARTU DEFAULT
13 PBM Pajak_Barang_Mewah PAJAK DEFAULT
15 FES Festival FESTIVAL DEFAULT
16 PEN Penjara SPESIAL DEFAULT
17 DNU Dana_Umum KARTU DEFAULT
19 KSP Kesempatan KARTU DEFAULT
21 FES Festival FESTIVAL DEFAULT
23 PPJ Petak_Pergi_ke_Penjara SPESIAL DEFAULT
25 DNU Dana_Umum KARTU DEFAULT
27 KSP Kesempatan KARTU DEFAULT
29 PPH Pajak_Penghasilan PAJAK DEFAULT
31 FES Festival FESTIVAL DEFAULT
33 DNU Dana_Umum KARTU DEFAULT
35 KSP Kesempatan KARTU DEFAULT
37 BBP Bebas_Parkir SPESIAL DEFAULT
39 FES Festival FESTIVAL DEFAULT
41 DNU Dana_Umum KARTU DEFAULT
43 PBM Pajak_Barang_Mewah PAJAK DEFAULT
45 KSP Kesempatan KARTU DEFAULT
47 FES Festival FESTIVAL DEFAULT
49 DNU Dana_Umum KARTU DEFAULT
51 PPJ Petak_Pergi_ke_Penjara SPESIAL DEFAULT
53 KSP Kesempatan KARTU DEFAULT
55 FES Festival FESTIVAL DEFAULT
57 DNU Dana_Umum KARTU DEFAULT
59 KSP Kesempatan KARTU DEFAULT
60 BBP Bebas_Parkir SPESIAL DEFAULT
